QR;ID del paquet de bosses;ID Extern de bossa (individual);Assignat?
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149180;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149181;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149182;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149183;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149184;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149185;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149186;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149187;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149188;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149189;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149190;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149191;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149192;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149193;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149194;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149195;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149196;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149197;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149198;No
./data/QR/35RSU/GB035R004723.png;GB035R004723;802A00149199;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129180;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129181;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129182;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129183;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129184;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129185;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129186;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129187;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129188;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129189;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129190;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129191;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129192;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129193;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129194;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129195;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129196;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129197;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129198;No
./data/QR/35RSU/GB035R004724.png;GB035R004724;802A00129199;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149200;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149201;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149202;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149203;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149204;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149205;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149206;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149207;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149208;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149209;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149210;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149211;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149212;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149213;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149214;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149215;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149216;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149217;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149218;No
./data/QR/35RSU/GB035R004725.png;GB035R004725;802A00149219;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129200;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129201;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129202;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129203;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129204;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129205;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129206;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129207;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129208;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129209;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129210;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129211;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129212;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129213;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129214;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129215;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129216;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129217;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129218;No
./data/QR/35RSU/GB035R004726.png;GB035R004726;802A00129219;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149220;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149221;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149222;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149223;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149224;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149225;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149226;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149227;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149228;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149229;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149230;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149231;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149232;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149233;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149234;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149235;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149236;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149237;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149238;No
./data/QR/35RSU/GB035R004727.png;GB035R004727;802A00149239;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129220;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129221;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129222;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129223;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129224;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129225;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129226;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129227;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129228;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129229;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129230;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129231;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129232;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129233;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129234;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129235;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129236;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129237;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129238;No
./data/QR/35RSU/GB035R004728.png;GB035R004728;802A00129239;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149240;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149241;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149242;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149243;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149244;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149245;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149246;No
